session_duration,command_count,failed_logins,common_commands_enc,label
13,4.0,1.0,5,Brute Force
5,2.0,6.0,5,Brute Force
238,7.0,1.0,5,Command Injection
35,0.0,8.0,5,Brute Force
12,2.0,9.0,5,Brute Force
378,6.0,1.0,5,Command Injection
118,28.0,1.0,5,Command Injection
365,27.0,1.0,3,Command Injection
336,13.0,0.0,4,Command Injection
33,2.0,1.0,5,Brute Force
32,1.0,9.0,5,Brute Force
42,28.0,1.0,5,Command Injection
34,1.0,2.0,5,Brute Force
72,0.0,4.0,5,Brute Force
357,5.0,1.0,2,Command Injection
241,23.0,0.0,5,Command Injection
139,28.0,1.0,4,Command Injection
350,23.0,0.0,4,Command Injection
216,27.0,0.0,3,Command Injection
154,21.0,0.0,3,Command Injection
308,27.0,1.0,5,Command Injection
214,9.0,0.0,5,Command Injection
101,0.0,9.0,5,Brute Force
299,24.0,1.0,5,Command Injection
103,23.0,0.0,8,Command Injection
6,3.0,2.0,5,Brute Force
47,4.0,6.0,5,Brute Force
166,8.0,0.0,2,Command Injection
303,14.0,1.0,3,Command Injection
76,15.0,1.0,2,Command Injection
50,3.0,1.0,5,Brute Force
392,21.0,0.0,5,Command Injection
65,0.0,1.0,5,Brute Force
262,18.0,0.0,5,Command Injection
31,18.0,1.0,5,Command Injection
95,14.0,0.0,8,Command Injection
104,2.0,2.0,5,Brute Force
100,20.0,0.0,5,Command Injection
52,25.0,0.0,2,Command Injection
125,2.0,2.0,5,Other
21,2.0,3.0,5,Brute Force
48,6.0,1.0,2,Command Injection
279,15.0,1.0,5,Command Injection
335,11.0,1.0,4,Command Injection
174,23.0,1.0,5,Command Injection
318,22.0,1.0,3,Command Injection
25,6.0,1.0,5,Other
258,6.0,1.0,4,Command Injection
186,9.0,0.0,5,Other
58,0.0,8.0,5,Brute Force
119,12.0,0.0,5,Command Injection
6,4.0,7.0,5,Brute Force
9,2.0,4.0,5,Brute Force
172,20.0,1.0,5,Command Injection
180,20.0,1.0,5,Command Injection
41,9.0,1.0,3,Command Injection
79,1.0,6.0,5,Brute Force
290,23.0,1.0,4,Command Injection
127,8.0,0.0,4,Command Injection
284,17.0,1.0,8,Command Injection
376,28.0,0.0,5,Command Injection
228,27.0,1.0,2,Command Injection
245,21.0,1.0,5,Command Injection
271,27.0,1.0,2,Command Injection
185,20.0,0.0,5,Command Injection
385,24.0,1.0,4,Command Injection
326,17.0,0.0,5,Command Injection
398,11.0,1.0,5,Command Injection
176,8.0,1.0,2,Command Injection
291,29.0,0.0,8,Command Injection
185,9.0,1.0,5,Command Injection
103,0.0,8.0,5,Brute Force
116,13.0,0.0,5,Command Injection
92,8.0,0.0,2,Command Injection
197,3.0,0.0,5,Other
79,2.0,7.0,5,Brute Force
177,5.0,0.0,2,Command Injection
36,2.0,2.0,5,Brute Force
230,18.0,1.0,8,Command Injection
264,18.0,1.0,8,Command Injection
135,9.0,1.0,5,Command Injection
281,27.0,0.0,8,Command Injection
32,26.0,1.0,5,Command Injection
56,2.0,5.0,5,Brute Force
105,2.0,8.0,5,Brute Force
366,13.0,1.0,2,Command Injection
64,1.0,8.0,5,Brute Force
86,12.0,1.0,4,Command Injection
38,2.0,8.0,5,Brute Force
228,11.0,0.0,5,Command Injection
101,9.0,0.0,3,Command Injection
349,14.0,0.0,5,Command Injection
98,4.0,9.0,5,Brute Force
98,1.0,7.0,5,Brute Force
99,2.0,9.0,5,Brute Force
106,1.0,1.0,5,Brute Force
188,11.0,0.0,2,Command Injection
13,1.0,2.0,5,Brute Force
206,7.0,1.0,5,Command Injection
152,20.0,0.0,4,Command Injection
184,10.0,1.0,5,Command Injection
229,23.0,1.0,8,Command Injection
183,14.0,0.0,5,Command Injection
195,18.0,0.0,2,Command Injection
97,4.0,7.0,5,Brute Force
182,26.0,0.0,4,Command Injection
322,24.0,0.0,4,Command Injection
330,17.0,0.0,4,Command Injection
119,3.0,5.0,5,Brute Force
288,16.0,0.0,2,Command Injection
193,17.0,0.0,3,Command Injection
354,23.0,1.0,4,Command Injection
198,22.0,1.0,5,Command Injection
102,18.0,0.0,5,Command Injection
31,23.0,0.0,4,Command Injection
110,1.0,1.0,5,Brute Force
125,1.0,1.0,5,Other
260,20.0,0.0,5,Command Injection
81,3.0,7.0,5,Brute Force
263,5.0,1.0,4,Command Injection
97,29.0,0.0,5,Command Injection
159,22.0,0.0,5,Command Injection
34,2.0,3.0,5,Brute Force
15,1.0,2.0,5,Brute Force
293,6.0,0.0,8,Command Injection
244,12.0,1.0,5,Command Injection
115,1.0,8.0,5,Brute Force
271,25.0,1.0,5,Command Injection
245,22.0,0.0,2,Command Injection
128,18.0,1.0,4,Command Injection
298,6.0,0.0,5,Command Injection
352,22.0,0.0,2,Command Injection
58,22.0,1.0,5,Command Injection
172,14.0,0.0,4,Command Injection
119,1.0,3.0,5,Brute Force
69,4.0,6.0,5,Brute Force
80,1.0,8.0,5,Brute Force
190,11.0,1.0,5,Command Injection
130,25.0,1.0,5,Command Injection
74,0.0,9.0,5,Brute Force
98,4.0,2.0,5,Brute Force
37,1.0,4.0,5,Brute Force
116,3.0,9.0,5,Brute Force
90,0.0,8.0,5,Brute Force
27,4.0,1.0,5,Brute Force
210,11.0,1.0,5,Command Injection
182,0.0,2.0,5,Other
15,2.0,1.0,5,Brute Force
302,13.0,1.0,4,Command Injection
286,9.0,1.0,5,Command Injection
344,14.0,1.0,2,Command Injection
66,13.0,1.0,4,Command Injection
31,0.0,2.0,5,Other
393,6.0,1.0,8,Command Injection
223,12.0,0.0,4,Command Injection
71,4.0,7.0,5,Brute Force
335,27.0,0.0,5,Command Injection
270,21.0,0.0,8,Command Injection
164,18.0,1.0,5,Command Injection
51,2.0,6.0,5,Brute Force
15,1.0,3.0,5,Brute Force
129,9.0,0.0,2,Command Injection
219,11.0,1.0,8,Command Injection
393,19.0,1.0,5,Command Injection
87,13.0,1.0,4,Command Injection
56,12.0,1.0,8,Command Injection
87,2.0,5.0,5,Brute Force
98,1.0,9.0,5,Brute Force
10,3.0,8.0,5,Brute Force
12,0.0,2.0,5,Brute Force
181,6.0,1.0,5,Command Injection
381,19.0,1.0,8,Command Injection
215,25.0,0.0,5,Command Injection
41,14.0,0.0,2,Command Injection
282,16.0,1.0,4,Command Injection
360,28.0,0.0,5,Command Injection
262,6.0,0.0,5,Command Injection
313,19.0,0.0,4,Command Injection
91,8.0,0.0,5,Other
328,29.0,0.0,4,Command Injection
81,5.0,1.0,2,Command Injection
49,20.0,0.0,4,Command Injection
108,13.0,0.0,5,Command Injection
39,1.0,6.0,5,Brute Force
14,0.0,5.0,5,Brute Force
305,23.0,1.0,8,Command Injection
113,5.0,1.0,5,Other
393,21.0,0.0,5,Command Injection
355,13.0,1.0,8,Command Injection
349,23.0,0.0,5,Command Injection
14,0.0,1.0,5,Brute Force
71,0.0,2.0,5,Other
88,0.0,1.0,5,Other
75,1.0,2.0,5,Other
75,4.0,5.0,5,Brute Force
392,11.0,1.0,4,Command Injection
127,0.0,2.0,5,Other
82,2.0,1.0,5,Brute Force
193,10.0,1.0,5,Command Injection
173,18.0,1.0,4,Command Injection
78,1.0,6.0,5,Brute Force
119,0.0,3.0,5,Brute Force
369,15.0,0.0,2,Command Injection
278,17.0,0.0,5,Command Injection
275,7.0,1.0,2,Command Injection
35,0.0,2.0,5,Brute Force
74,2.0,8.0,5,Brute Force
111,24.0,0.0,4,Command Injection
242,24.0,0.0,8,Command Injection
53,27.0,0.0,4,Command Injection
39,2.0,5.0,5,Brute Force
71,14.0,1.0,5,Command Injection
120,13.0,1.0,5,Command Injection
134,26.0,1.0,3,Command Injection
107,2.0,6.0,5,Brute Force
392,29.0,1.0,4,Command Injection
77,3.0,3.0,5,Brute Force
185,4.0,0.0,5,Other
220,13.0,1.0,5,Command Injection
364,12.0,1.0,3,Command Injection
367,14.0,1.0,8,Command Injection
37,1.0,7.0,5,Brute Force
136,21.0,0.0,5,Command Injection
81,2.0,2.0,5,Brute Force
83,29.0,0.0,2,Command Injection
61,14.0,1.0,3,Command Injection
114,2.0,2.0,5,Other
34,0.0,3.0,5,Brute Force
74,4.0,9.0,5,Brute Force
76,17.0,0.0,5,Command Injection
259,26.0,1.0,5,Command Injection
360,13.0,0.0,5,Command Injection
282,23.0,1.0,3,Command Injection
165,3.0,2.0,5,Other
95,4.0,4.0,5,Brute Force
110,4.0,7.0,5,Brute Force
87,13.0,0.0,5,Command Injection
32,16.0,1.0,4,Command Injection
315,16.0,0.0,5,Command Injection
106,0.0,6.0,5,Brute Force
49,5.0,1.0,2,Command Injection
65,0.0,6.0,5,Brute Force
140,5.0,0.0,2,Command Injection
41,2.0,9.0,5,Brute Force
336,24.0,0.0,5,Command Injection
329,18.0,1.0,2,Command Injection
169,22.0,1.0,3,Command Injection
335,29.0,0.0,3,Command Injection
38,26.0,1.0,5,Command Injection
18,4.0,8.0,5,Brute Force
391,5.0,1.0,4,Command Injection
181,17.0,1.0,4,Command Injection
258,22.0,0.0,5,Command Injection
164,13.0,1.0,5,Command Injection
130,28.0,1.0,3,Command Injection
247,5.0,1.0,5,Command Injection
317,26.0,1.0,4,Command Injection
349,24.0,1.0,4,Command Injection
32,4.0,6.0,5,Brute Force
42,1.0,2.0,5,Brute Force
282,17.0,0.0,3,Command Injection
302,8.0,1.0,5,Command Injection
103,2.0,9.0,5,Brute Force
114,2.0,2.0,5,Other
56,1.0,7.0,5,Brute Force
302,24.0,0.0,4,Command Injection
8,0.0,8.0,5,Brute Force
246,19.0,1.0,4,Command Injection
30,0.0,8.0,5,Brute Force
193,28.0,0.0,5,Command Injection
316,26.0,0.0,8,Command Injection
366,25.0,1.0,5,Command Injection
77,12.0,0.0,8,Command Injection
263,7.0,0.0,4,Command Injection
302,21.0,1.0,3,Command Injection
365,15.0,0.0,3,Command Injection
145,8.0,0.0,5,Other
189,13.0,0.0,5,Command Injection
321,26.0,1.0,8,Command Injection
161,20.0,1.0,5,Command Injection
69,3.0,4.0,5,Brute Force
199,17.0,0.0,2,Command Injection
367,27.0,1.0,5,Command Injection
76,18.0,1.0,5,Command Injection
27,4.0,4.0,5,Brute Force
286,25.0,0.0,5,Command Injection
145,23.0,0.0,3,Command Injection
215,16.0,0.0,4,Command Injection
26,2.0,7.0,5,Brute Force
58,19.0,0.0,3,Command Injection
362,10.0,0.0,3,Command Injection
141,18.0,0.0,5,Command Injection
116,17.0,1.0,5,Command Injection
218,27.0,1.0,3,Command Injection
161,6.0,0.0,2,Command Injection
45,25.0,0.0,8,Command Injection
77,2.0,3.0,5,Brute Force
170,6.0,0.0,4,Command Injection
327,9.0,0.0,2,Command Injection
118,10.0,1.0,5,Command Injection
